Expenses,OB_HO,Last Folder_HO,Actual_HO,Variance OB_HO,Variance LF_HO,OB_Bawal,Last Folder_Bawal,Actual_Bawal,Variance OB_Bawal,Variance LF_Bawal,OB_Chennai,Last Folder_Chennai,Actual_Chennai,Variance OB_Chennai,Variance LF_Chennai,OB_Roorkee,Last Folder_Roorkee,Actual_Roorkee,Variance OB_Roorkee,Variance LF_Roorkee,OB_T16,Last Folder_T16,Actual_T16,Variance OB_T16,Variance LF_T16,OB_NPAU,Last Folder_NPAU,Actual_NPAU,Variance OB_NPAU,Variance LF_NPAU,OB_KAU,Last Folder_KAU,Actual_KAU,Variance OB_KAU,Variance LF_KAU,OB_BAU,Last Folder_BAU,Actual_BAU,Variance OB_BAU,Variance LF_BAU,OB_Gujarat,Last Folder_Gujarat,Actual_Gujarat,Variance OB_Gujarat,Variance LF_Gujarat,OB_Total,Last Folder_Total,Actual_Total,Variance OB_Total,Variance LF_Total,Month
Bilaspur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Apr'18
AFM Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,20000.0,20000.0,Apr'18
TOTAL Warehouses (D),0.0,0.0,0.0,0.0,0.0,2477397.5183999995,2477397.5183999995,2597150.0,-119752.48160000052,-119752.48160000052,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,1094.0,-1094.0,-1094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497397.5183999995,2497397.5183999995,2598244.0,-100846.48160000052,-100846.48160000052,Apr'18
Subcontractors,0.0,0.0,0.0,0.0,0.0,88930.8576,88930.8576,88930.8576,0.0,0.0,1478490.0,1478490.0,1478490.0,0.0,0.0,527451.5833333334,527451.5833333334,542658.5,-15206.916666666628,-15206.916666666628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72624.0,72624.0,0.0,72624.0,72624.0,0.0,0.0,0.0,0.0,0.0,2167496.4409333332,2167496.4409333332,2110079.3575999998,57417.08333333349,57417.08333333349,Apr'18
Assigned Personnels(Incl I.Tax Paid),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Apr'18
Good Work Reward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-219303.0,219303.0,219303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-219303.0,219303.0,219303.0,Apr'18
Attendance Incentive,0.0,0.0,0.0,0.0,0.0,83520.0,83520.0,0.0,83520.0,83520.0,99773.324301,99773.324301,67600.0,32173.324301,32173.324301,19975.0,19975.0,8063.0,11912.0,11912.0,22500.0,22500.0,0.0,22500.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225768.324301,225768.324301,75663.0,150105.324301,150105.324301,Apr'18
Night Attendance Incentive to Operators,0.0,0.0,0.0,0.0,0.0,120640.00000000001,120640.00000000001,132200.0,-11559.999999999985,-11559.999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120640.00000000001,120640.00000000001,132200.0,-11559.999999999985,-11559.999999999985,Apr'18
Leave Encashment,0.0,0.0,0.0,0.0,0.0,749174.0070182276,749174.0070182276,749174.01,-0.0029817724134773016,-0.0029817724134773016,512920.4487179493,512920.4487179493,475613.57,37306.878717949265,37306.878717949265,27908.58974358974,27908.58974358974,27908.58974358974,0.0,0.0,22173.39487179487,22173.39487179487,56896.0,-34722.605128205134,-34722.605128205134,933.3333333333334,933.3333333333334,18440.44,-17507.106666666667,-17507.106666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313109.7736848947,1313109.7736848947,1328032.6097435898,-14922.836058695102,-14922.836058695102,Apr'18
Overtime,0.0,0.0,0.0,0.0,0.0,83333.33333333333,83333.33333333333,83333.33,0.003333333326736465,0.003333333326736465,700000.0,700000.0,1677261.0,-977261.0,-977261.0,80059.23076923075,80059.23076923075,154401.0,-74341.76923076925,-74341.76923076925,79824.22153846154,79824.22153846154,230234.0,-150409.77846153846,-150409.77846153846,2153.846153846154,2153.846153846154,0.0,2153.846153846154,2153.846153846154,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,144230.0,-94230.0,-94230.0,0.0,0.0,0.0,0.0,0.0,995370.6317948718,995370.6317948718,2289459.33,-1294088.6982051283,-1294088.6982051283,Apr'18
Bonus & Ex-Gratia (workers),0.0,0.0,0.0,0.0,0.0,2513488.0,2513488.0,2345109.58,168378.41999999993,168378.41999999993,820833.3333333315,820833.3333333315,803464.0,17369.33333333151,17369.33333333151,85383.33333333333,85383.33333333333,85383.0,0.3333333333284827,0.3333333333284827,86666.66666666667,86666.66666666667,86667.0,-0.3333333333284827,-0.3333333333284827,0.0,0.0,5044.0,-5044.0,-5044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3506371.3333333316,3506371.3333333316,3325667.58,180703.75333333155,180703.75333333155,Apr'18
Bonus & Ex-Gratia (Trainees),0.0,0.0,0.0,0.0,0.0,624442.7354549998,624442.7354549998,388515.08,235927.65545499983,235927.65545499983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624442.7354549998,624442.7354549998,388515.08,235927.65545499983,235927.65545499983,Apr'18
Production Incentive,0.0,0.0,0.0,0.0,0.0,5080800.0,5080800.0,5310838.0,-230038.0,-230038.0,994000.0933333334,994000.0933333334,1085236.0,-91235.90666666662,-91235.90666666662,0.0,0.0,0.0,0.0,0.0,96000.0,96000.0,71816.0,24184.0,24184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.0,14300.0,14300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6185100.093333334,6185100.093333334,6482190.0,-297089.90666666627,-297089.90666666627,Apr'18
TOTAL SubContract( E),0.0,0.0,0.0,0.0,0.0,9344328.933406562,9344328.933406562,8878797.8576,465531.0758065607,465531.0758065607,4606017.199685615,4606017.199685615,5587664.57,-981647.3703143859,-981647.3703143859,740777.7371794872,740777.7371794872,818414.0897435897,-77636.35256410255,-77636.35256410255,307164.2830769231,307164.2830769231,445613.0,-138448.7169230769,-138448.7169230769,3087.1794871794873,3087.1794871794873,23484.44,-20397.26051282051,-20397.26051282051,0.0,0.0,0.0,0.0,0.0,136924.0,136924.0,158530.0,-21606.0,-21606.0,0.0,0.0,0.0,0.0,0.0,15138299.332835764,15138299.332835764,15912503.95734359,-774204.6245078249,-774204.6245078249,Apr'18
Recruitment ,11286.0,11286.0,0.0,11286.0,11286.0,18876.0,18876.0,97763.0,-78887.0,-78887.0,33044.0,33044.0,7500.0,25544.0,25544.0,4230.6,4230.6,0.0,4230.6,4230.6,11077.0,11077.0,0.0,11077.0,11077.0,3630.0,3630.0,0.0,3630.0,3630.0,3516.6666666666665,3516.6666666666665,0.0,3516.6666666666665,3516.6666666666665,6930.0,6930.0,0.0,6930.0,6930.0,13200.0,13200.0,0.0,13200.0,13200.0,105790.26666666668,105790.26666666668,105263.0,527.2666666666773,527.2666666666773,Apr'18
Training,1007456.5217391305,1007456.5217391305,72480.0,934976.5217391305,934976.5217391305,1110661.25,1110661.25,500.0,1110161.25,1110161.25,450000.0,450000.0,433000.0,17000.0,17000.0,557939.0,557939.0,5950.0,551989.0,551989.0,693510.1449275361,693510.1449275361,36000.0,657510.1449275361,657510.1449275361,12456.521739130436,12456.521739130436,0.0,12456.521739130436,12456.521739130436,4250.0,4250.0,0.0,4250.0,4250.0,2000.0,2000.0,0.0,2000.0,2000.0,83333.33333333333,83333.33333333333,0.0,83333.33333333333,83333.33333333333,3921606.7717391304,3921606.7717391304,547930.0,3373676.7717391304,3373676.7717391304,Apr'18
TOTAL Recruitment(F),1018742.5217391305,1018742.5217391305,72480.0,946262.5217391305,946262.5217391305,1129537.25,1129537.25,98263.0,1031274.25,1031274.25,483044.0,483044.0,440500.0,42544.0,42544.0,562169.6,562169.6,5950.0,556219.6,556219.6,704587.1449275361,704587.1449275361,36000.0,668587.1449275361,668587.1449275361,16086.521739130436,16086.521739130436,0.0,16086.521739130436,16086.521739130436,7766.666666666666,7766.666666666666,0.0,7766.666666666666,7766.666666666666,8930.0,8930.0,0.0,8930.0,8930.0,96533.33333333333,96533.33333333333,0.0,96533.33333333333,96533.33333333333,4027397.038405797,4027397.038405797,653193.0,3374204.038405797,3374204.038405797,Apr'18
Canteen,135200.0,135200.0,32976.82,102223.18,102223.18,2604259.08,2604259.08,2583169.82,21089.260000000242,21089.260000000242,3090345.129787854,3090345.129787854,3307127.1500000004,-216782.02021214645,-216782.02021214645,540464.4473122,540464.4473122,651204.92,-110740.47268780007,-110740.47268780007,388864.6053333333,388864.6053333333,304722.0,84142.60533333331,84142.60533333331,92851.62000000001,92851.62000000001,96829.88,-3978.2599999999948,-3978.2599999999948,218632.59999999998,218632.59999999998,105380.0,113252.59999999998,113252.59999999998,239868.0,239868.0,224803.0,15065.0,15065.0,14726.4,14726.4,0.0,14726.4,14726.4,7325211.8824333865,7325211.8824333865,7306213.59,18998.29243338667,18998.29243338667,Apr'18
Employee Claim / Refreshmnent,67532.91666666667,67532.91666666667,41574.46,25958.456666666672,25958.456666666672,0.0,0.0,439403.0,-439403.0,-439403.0,30000.0,30000.0,43345.0,-13345.0,-13345.0,333.3333333333333,333.3333333333333,0.0,333.3333333333333,333.3333333333333,12500.0,12500.0,0.0,12500.0,12500.0,2000.0,2000.0,0.0,2000.0,2000.0,12575.0,12575.0,0.0,12575.0,12575.0,2000.0,2000.0,28032.0,-26032.0,-26032.0,0.0,0.0,0.0,0.0,0.0,126941.25,126941.25,552354.46,-425413.20999999996,-425413.20999999996,Apr'18
Suggestion Scheme,0.0,0.0,0.0,0.0,0.0,17700.0,17700.0,17700.0,0.0,0.0,61500.0,61500.0,0.0,61500.0,61500.0,0.0,0.0,0.0,0.0,0.0,3550.0,3550.0,0.0,3550.0,3550.0,1050.0,1050.0,0.0,1050.0,1050.0,5964.0,5964.0,0.0,5964.0,5964.0,7200.0,7200.0,0.0,7200.0,7200.0,0.0,0.0,0.0,0.0,0.0,96964.0,96964.0,17700.0,79264.0,79264.0,Apr'18
Family Visits,0.0,0.0,0.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,45150.0,45150.0,0.0,45150.0,45150.0,0.0,0.0,0.0,0.0,0.0,4583.333333333333,4583.333333333333,0.0,4583.333333333333,4583.333333333333,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,2000.0,2000.0,5000.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,67233.33333333334,67233.33333333334,10500.0,56733.33333333334,56733.33333333334,Apr'18
Employee Engagement Activities,16000.0,16000.0,0.0,16000.0,16000.0,31750.0,31750.0,31750.0,0.0,0.0,27000.0,27000.0,15261.0,11739.0,11739.0,31630.0,31630.0,0.0,31630.0,31630.0,16033.333333333332,16033.333333333332,6676.0,9357.333333333332,9357.333333333332,2000.0,2000.0,2188.0,-188.0,-188.0,8500.0,8500.0,0.0,8500.0,8500.0,5000.0,5000.0,1695.0,3305.0,3305.0,0.0,0.0,0.0,0.0,0.0,137913.3333333333,137913.3333333333,57570.0,80343.33333333331,80343.33333333331,Apr'18
Director's Party/ Others,0.0,0.0,0.0,0.0,0.0,11000.0,11000.0,0.0,11000.0,11000.0,25000.0,25000.0,57010.0,-32010.0,-32010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,15000.0,15000.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,61000.0,61000.0,57010.0,3990.0,3990.0,Apr'18
QC circle,0.0,0.0,0.0,0.0,0.0,1750.0,1750.0,0.0,1750.0,1750.0,30000.0,30000.0,0.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,14368.75,14368.75,0.0,14368.75,14368.75,875.0,875.0,0.0,875.0,875.0,5000.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51993.75,51993.75,0.0,51993.75,51993.75,Apr'18
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15783.71,-15783.71,-15783.71,129340.8015817901,129340.8015817901,0.0,129340.8015817901,129340.8015817901,2083.3333333333335,2083.3333333333335,0.0,2083.3333333333335,2083.3333333333335,2750.0,2750.0,0.0,2750.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134174.13491512343,134174.13491512343,15783.71,118390.42491512344,118390.42491512344,Apr'18
Social Activities,0.0,0.0,0.0,0.0,0.0,53720.0,53720.0,502450.0,-448730.0,-448730.0,7000.0,7000.0,6000.0,1000.0,1000.0,500.0,500.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62220.0,62220.0,508450.0,-446230.0,-446230.0,Apr'18
Club,0.0,0.0,0.0,0.0,0.0,59705.0,59705.0,155482.08000000002,-95777.08000000002,-95777.08000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59705.0,59705.0,155482.08000000002,-95777.08000000002,-95777.08000000002,Apr'18
Gifts,0.0,0.0,0.0,0.0,0.0,10002.0,10002.0,37404.26000000001,-27402.26000000001,-27402.26000000001,386201.03624999995,386201.03624999995,391460.0,-5258.963750000054,-5258.963750000054,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,5001.0,5001.0,0.0,5001.0,5001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406204.03624999995,406204.03624999995,428864.26,-22660.223750000063,-22660.223750000063,Apr'18
Insurance,64978.5,64978.5,64979.0,-0.5,-0.5,978344.388888889,978344.388888889,967047.0,11297.388888888992,11297.388888888992,498435.18808333325,498435.18808333325,461684.0,36751.188083333254,36751.188083333254,143132.775,143132.775,117157.0,25975.774999999994,25975.774999999994,91198.93125000001,91198.93125000001,74670.0,16528.93125000001,16528.93125000001,6125.0,6125.0,6125.0,0.0,0.0,2651.25,2651.25,2651.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12063.191304347829,12063.191304347829,0.0,12063.191304347829,12063.191304347829,1796929.22452657,1796929.22452657,1694313.25,102615.97452656995,102615.97452656995,Apr'18
Vehicles For Staff at plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405393.5893292134,3405393.5893292134,3729572.0,-324178.41067078663,-324178.41067078663,266430.15,266430.15,204251.0,62179.15000000002,62179.15000000002,355781.21,355781.21,355104.6666666667,676.5433333333349,676.5433333333349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4027604.9493292132,4027604.9493292132,4288927.666666667,-261322.71733745374,-261322.71733745374,Apr'18
Bus Hiring For Staff-Plant,0.0,0.0,0.0,0.0,0.0,2700466.3754999996,2700466.3754999996,2355946.0,344520.3754999996,344520.3754999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143325.0,143325.0,193973.0,-50648.0,-50648.0,181650.0,181650.0,174286.7,7363.299999999988,7363.299999999988,235377.90000000002,235377.90000000002,239820.0,-4442.099999999977,-4442.099999999977,0.0,0.0,0.0,0.0,0.0,3260819.2754999995,3260819.2754999995,2964025.7,296793.57549999934,296793.57549999934,Apr'18
Safety Wear,1645.0,1645.0,0.0,1645.0,1645.0,0.0,0.0,52114.46,-52114.46,-52114.46,95160.00933333334,95160.00933333334,145081.37,-49921.36066666666,-49921.36066666666,10107.9405,10107.9405,97472.28,-87364.3395,-87364.3395,68432.75,68432.75,104325.0,-35892.25,-35892.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110820.2,-110820.2,-110820.2,249650.0,249650.0,15933.0,233717.0,233717.0,0.0,0.0,0.0,0.0,0.0,424995.6998333333,424995.6998333333,525746.31,-100750.61016666674,-100750.61016666674,Apr'18
Medical Expenses,3273.9166666666665,3273.9166666666665,1998.0,1275.9166666666665,1275.9166666666665,144398.3333333333,144398.3333333333,145400.0,-1001.6666666666861,-1001.6666666666861,85000.0,85000.0,3420.0,81580.0,81580.0,95228.2,95228.2,18500.0,76728.2,76728.2,27143.75,27143.75,26550.0,593.75,593.75,1575.0,1575.0,0.0,1575.0,1575.0,2000.0,2000.0,0.0,2000.0,2000.0,15000.0,15000.0,12714.0,2286.0,2286.0,580.641702270252,580.641702270252,0.0,580.641702270252,580.641702270252,374199.8417022702,374199.8417022702,208582.0,165617.8417022702,165617.8417022702,Apr'18
TOTAL Welfare(G),288630.3333333334,288630.3333333334,141528.28,147102.05333333332,147102.05333333332,6623595.177722222,6623595.177722222,7314150.33,-690555.1522777779,-690555.1522777779,7915525.754365524,7915525.754365524,8159960.5200000005,-244434.76563447644,-244434.76563447644,1089910.1794788667,1089910.1794788667,1088585.2,1324.979478866604,1324.979478866604,990206.66325,990206.66325,872047.6666666667,118158.9965833333,118158.9965833333,249801.62,249801.62,299115.88,-49314.259999999995,-49314.259999999995,454973.85,454973.85,393138.15,61835.69999999997,61835.69999999997,774095.9,774095.9,522997.0,251098.90000000002,251098.90000000002,27370.23300661808,27370.23300661808,0.0,27370.23300661808,27370.23300661808,18414109.711156562,18414109.711156562,18791523.026666664,-377413.3155101043,-377413.3155101043,Apr'18
TOTAL COST,14403386.368582278,14403386.368582278,12127148.69,2276237.6785822767,2276237.6785822767,73267526.39936316,73267526.39936316,73324163.8576,-56637.4582368352,-56637.4582368352,45032111.1388179,45032111.1388179,47238666.720000006,-2206555.5811821027,-2206555.5811821027,8462170.336566547,8462170.336566547,8602366.200000001,-160195.8634334526,-160195.8634334526,10324943.794660684,10324943.794660684,9679125.126666667,645818.6679940165,645818.6679940165,3042828.8845951194,3042828.8845951194,3340674.2199999997,-297845.3354048807,-297845.3354048807,2678033.113494793,2678033.113494793,2640533.8699999996,37499.243494793125,37499.243494793125,3251320.914161492,3251320.914161492,2700369.6799999997,550951.2341614924,550951.2341614924,502151.4830066184,502151.4830066184,381249.43,120902.0530066184,120902.0530066184,160964472.43324864,160964472.43324864,160034297.79426667,930174.6389819138,930174.6389819138,Apr'18
